#     N                     p                          f(p)                         Er(absoluto)                         er(relativo)
      0       0.100000000000E+01      -0.200000000000E+01       0.500000000000E+00       0.333333333333E+00
      1       0.150000000000E+01      -0.750000000000E+00       0.250000000000E+00       0.142857142857E+00
      2       0.175000000000E+01       0.625000000000E-01       0.125000000000E+00       0.769230769231E-01
      3       0.162500000000E+01      -0.359375000000E+00       0.625000000000E-01       0.370370370370E-01
      4       0.168750000000E+01      -0.152343750000E+00       0.312500000000E-01       0.181818181818E-01
      5       0.171875000000E+01      -0.458984375000E-01       0.156250000000E-01       0.900900900901E-02
      6       0.173437500000E+01       0.805664062500E-02       0.781250000000E-02       0.452488687783E-02
      7       0.172656250000E+01      -0.189819335938E-01       0.390625000000E-02       0.225733634312E-02
      8       0.173046875000E+01      -0.547790527344E-02       0.195312500000E-02       0.112739571590E-02
      9       0.173242187500E+01       0.128555297852E-02       0.976562500000E-03       0.564015792442E-03
     10       0.173144531250E+01      -0.209712982178E-02       0.488281250000E-03       0.281928390189E-03
     11       0.173193359375E+01      -0.406026840210E-03       0.244140625000E-03       0.140944326991E-03
     12       0.173217773438E+01       0.439703464508E-03       0.122070312500E-03       0.704771301713E-04
     13       0.173205566406E+01       0.168234109879E-04       0.610351562500E-04       0.352398068859E-04
