 n                  x                       P
 
  0          0.00000000E+00          0.10000000E+01
  1          0.25125628E-01          0.10122751E+01
  2          0.50251256E-01          0.10244377E+01
  3          0.75376884E-01          0.10364892E+01
  4          0.10050251E+00          0.10484306E+01
  5          0.12562814E+00          0.10602633E+01
  6          0.15075377E+00          0.10719886E+01
  7          0.17587940E+00          0.10836078E+01
  8          0.20100503E+00          0.10951219E+01
  9          0.22613065E+00          0.11065325E+01
 10          0.25125628E+00          0.11178406E+01
 11          0.27638191E+00          0.11290476E+01
 12          0.30150754E+00          0.11401547E+01
 13          0.32663317E+00          0.11511631E+01
 14          0.35175879E+00          0.11620742E+01
 15          0.37688442E+00          0.11728892E+01
 16          0.40201005E+00          0.11836094E+01
 17          0.42713568E+00          0.11942360E+01
 18          0.45226131E+00          0.12047702E+01
 19          0.47738693E+00          0.12152134E+01
 20          0.50251256E+00          0.12255668E+01
 21          0.52763819E+00          0.12358316E+01
 22          0.55276382E+00          0.12460092E+01
 23          0.57788945E+00          0.12561007E+01
 24          0.60301508E+00          0.12661074E+01
 25          0.62814070E+00          0.12760307E+01
 26          0.65326633E+00          0.12858717E+01
 27          0.67839196E+00          0.12956317E+01
 28          0.70351759E+00          0.13053120E+01
 29          0.72864322E+00          0.13149139E+01
 30          0.75376884E+00          0.13244385E+01
 31          0.77889447E+00          0.13338872E+01
 32          0.80402010E+00          0.13432612E+01
 33          0.82914573E+00          0.13525618E+01
 34          0.85427136E+00          0.13617902E+01
 35          0.87939698E+00          0.13709477E+01
 36          0.90452261E+00          0.13800356E+01
 37          0.92964824E+00          0.13890551E+01
 38          0.95477387E+00          0.13980075E+01
 39          0.97989950E+00          0.14068940E+01
 40          0.10050251E+01          0.14157158E+01
 41          0.10301508E+01          0.14244744E+01
 42          0.10552764E+01          0.14331709E+01
 43          0.10804020E+01          0.14418065E+01
 44          0.11055276E+01          0.14503826E+01
 45          0.11306533E+01          0.14589003E+01
 46          0.11557789E+01          0.14673611E+01
 47          0.11809045E+01          0.14757660E+01
 48          0.12060302E+01          0.14841164E+01
 49          0.12311558E+01          0.14924136E+01
 50          0.12562814E+01          0.15006587E+01
 51          0.12814070E+01          0.15088531E+01
 52          0.13065327E+01          0.15169980E+01
 53          0.13316583E+01          0.15250947E+01
 54          0.13567839E+01          0.15331445E+01
 55          0.13819095E+01          0.15411485E+01
 56          0.14070352E+01          0.15491081E+01
 57          0.14321608E+01          0.15570244E+01
 58          0.14572864E+01          0.15648989E+01
 59          0.14824121E+01          0.15727327E+01
 60          0.15075377E+01          0.15805271E+01
 61          0.15326633E+01          0.15882834E+01
 62          0.15577889E+01          0.15960027E+01
 63          0.15829146E+01          0.16036865E+01
 64          0.16080402E+01          0.16113359E+01
 65          0.16331658E+01          0.16189521E+01
 66          0.16582915E+01          0.16265366E+01
 67          0.16834171E+01          0.16340904E+01
 68          0.17085427E+01          0.16416149E+01
 69          0.17336683E+01          0.16491114E+01
 70          0.17587940E+01          0.16565810E+01
 71          0.17839196E+01          0.16640252E+01
 72          0.18090452E+01          0.16714450E+01
