#           xi                          f(xi)
       -0.100000000E+01               0.384615385E-01
       -0.987688341E+00               0.393883673E-01
       -0.951056516E+00               0.423500690E-01
       -0.891006524E+00               0.479678063E-01
       -0.809016994E+00               0.575946877E-01
       -0.707106781E+00               0.740740741E-01
       -0.587785252E+00               0.103763636E+00
       -0.453990500E+00               0.162530685E+00
       -0.309016994E+00               0.295221465E+00
       -0.156434465E+00               0.620426854E+00
       -0.612323400E-16               0.100000000E+01
        0.156434465E+00               0.620426854E+00
        0.309016994E+00               0.295221465E+00
        0.453990500E+00               0.162530685E+00
        0.587785252E+00               0.103763636E+00
        0.707106781E+00               0.740740741E-01
        0.809016994E+00               0.575946877E-01
        0.891006524E+00               0.479678063E-01
        0.951056516E+00               0.423500690E-01
        0.987688341E+00               0.393883673E-01
        0.100000000E+01               0.384615385E-01
