#            x                           P(x)                           f(x)                          E_abs
        0.100000000E+01               0.000000000E+00               0.000000000E+00               0.000000000E+00
        0.100201005E+01               0.200470754E-02               0.200803280E-02               0.332526408E-05
        0.100402010E+01               0.400561408E-02               0.401204149E-02               0.642741074E-05
        0.100603015E+01               0.600272922E-02               0.601204216E-02               0.931293693E-05
        0.100804020E+01               0.799606256E-02               0.800805080E-02               0.119882432E-04
        0.101005025E+01               0.998562370E-02               0.100000833E-01               0.144596345E-04
        0.101206030E+01               0.119714222E-01               0.119881556E-01               0.167333208E-04
        0.101407035E+01               0.139534678E-01               0.139722832E-01               0.188154183E-04
        0.101608040E+01               0.159317699E-01               0.159524819E-01               0.207119494E-04
        0.101809045E+01               0.179063382E-01               0.179287671E-01               0.224288441E-04
        0.102010050E+01               0.198771824E-01               0.199011543E-01               0.239719406E-04
        0.102211055E+01               0.218443119E-01               0.218696589E-01               0.253469858E-04
        0.102412060E+01               0.238077364E-01               0.238342961E-01               0.265596362E-04
        0.102613065E+01               0.257674655E-01               0.257950810E-01               0.276154585E-04
        0.102814070E+01               0.277235089E-01               0.277520288E-01               0.285199304E-04
        0.103015075E+01               0.296758760E-01               0.297051544E-01               0.292784413E-04
        0.103216080E+01               0.316245765E-01               0.316544728E-01               0.298962928E-04
        0.103417085E+01               0.335696200E-01               0.335999987E-01               0.303786998E-04
        0.103618090E+01               0.355110161E-01               0.355417469E-01               0.307307906E-04
        0.103819095E+01               0.374487744E-01               0.374797320E-01               0.309576080E-04
        0.104020101E+01               0.393829044E-01               0.394139685E-01               0.310641099E-04
        0.104221106E+01               0.413134159E-01               0.413444711E-01               0.310551699E-04
        0.104422111E+01               0.432403184E-01               0.432712539E-01               0.309355777E-04
        0.104623116E+01               0.451636214E-01               0.451943315E-01               0.307100403E-04
        0.104824121E+01               0.470833347E-01               0.471137178E-01               0.303831821E-04
        0.105025126E+01               0.489994677E-01               0.490294272E-01               0.299595458E-04
        0.105226131E+01               0.509120301E-01               0.509414737E-01               0.294435931E-04
        0.105427136E+01               0.528210315E-01               0.528498712E-01               0.288397050E-04
        0.105628141E+01               0.547264815E-01               0.547546337E-01               0.281521829E-04
        0.105829146E+01               0.566283897E-01               0.566557750E-01               0.273852485E-04
        0.106030151E+01               0.585267657E-01               0.585533088E-01               0.265430452E-04
        0.106231156E+01               0.604216191E-01               0.604472487E-01               0.256296381E-04
        0.106432161E+01               0.623129594E-01               0.623376084E-01               0.246490150E-04
        0.106633166E+01               0.642007964E-01               0.642244015E-01               0.236050865E-04
        0.106834171E+01               0.660851395E-01               0.661076412E-01               0.225016871E-04
        0.107035176E+01               0.679659984E-01               0.679873410E-01               0.213425755E-04
        0.107236181E+01               0.698433827E-01               0.698635141E-01               0.201314353E-04
        0.107437186E+01               0.717173020E-01               0.717361739E-01               0.188718751E-04
        0.107638191E+01               0.735877659E-01               0.736053333E-01               0.175674299E-04
        0.107839196E+01               0.754547839E-01               0.754710055E-01               0.162215610E-04
        0.108040201E+01               0.773183657E-01               0.773332034E-01               0.148376566E-04
        0.108241206E+01               0.791785210E-01               0.791919400E-01               0.134190328E-04
        0.108442211E+01               0.810352592E-01               0.810472281E-01               0.119689334E-04
        0.108643216E+01               0.828885899E-01               0.828990805E-01               0.104905311E-04
        0.108844221E+01               0.847385229E-01               0.847475098E-01               0.898692791E-05
        0.109045226E+01               0.865850677E-01               0.865925288E-01               0.746115521E-05
        0.109246231E+01               0.884282338E-01               0.884341500E-01               0.591617478E-05
        0.109447236E+01               0.902680309E-01               0.902723858E-01               0.435487912E-05
        0.109648241E+01               0.921044686E-01               0.921072487E-01               0.278009192E-05
        0.109849246E+01               0.939375564E-01               0.939387510E-01               0.119456865E-05
        0.110050251E+01               0.957673041E-01               0.957669051E-01              -0.399002999E-06
        0.110251256E+01               0.975937211E-01               0.975917231E-01              -0.199800260E-05
        0.110452261E+01               0.994168171E-01               0.994132172E-01              -0.359987650E-05
        0.110653266E+01               0.101236602E+00               0.101231400E+00              -0.520213734E-05
        0.110854271E+01               0.103053084E+00               0.103046282E+00              -0.680236357E-05
        0.111055276E+01               0.104866275E+00               0.104857877E+00              -0.839819896E-05
        0.111256281E+01               0.106676183E+00               0.106666196E+00              -0.998735216E-05
        0.111457286E+01               0.108482818E+00               0.108471250E+00              -0.115675962E-04
        0.111658291E+01               0.110286189E+00               0.110273052E+00              -0.131367680E-04
        0.111859296E+01               0.112086307E+00               0.112071614E+00              -0.146927680E-04
        0.112060302E+01               0.113883180E+00               0.113866947E+00              -0.162335597E-04
        0.112261307E+01               0.115676819E+00               0.115659062E+00              -0.177571691E-04
        0.112462312E+01               0.117467233E+00               0.117447971E+00              -0.192616841E-04
        0.112663317E+01               0.119254431E+00               0.119233686E+00              -0.207452548E-04
        0.112864322E+01               0.121038424E+00               0.121016218E+00              -0.222060919E-04
        0.113065327E+01               0.122819220E+00               0.122795577E+00              -0.236424674E-04
        0.113266332E+01               0.124596830E+00               0.124571777E+00              -0.250527134E-04
        0.113467337E+01               0.126371262E+00               0.126344827E+00              -0.264352220E-04
        0.113668342E+01               0.128142527E+00               0.128114739E+00              -0.277884447E-04
        0.113869347E+01               0.129910635E+00               0.129881524E+00              -0.291108923E-04
        0.114070352E+01               0.131675594E+00               0.131645193E+00              -0.304011342E-04
        0.114271357E+01               0.133437414E+00               0.133405757E+00              -0.316577979E-04
        0.114472362E+01               0.135196106E+00               0.135163226E+00              -0.328795690E-04
        0.114673367E+01               0.136951678E+00               0.136917613E+00              -0.340651903E-04
        0.114874372E+01               0.138704140E+00               0.138668927E+00              -0.352134617E-04
        0.115075377E+01               0.140453502E+00               0.140417179E+00              -0.363232399E-04
        0.115276382E+01               0.142199773E+00               0.142162380E+00              -0.373934378E-04
        0.115477387E+01               0.143942964E+00               0.143904541E+00              -0.384230239E-04
        0.115678392E+01               0.145683083E+00               0.145643672E+00              -0.394110225E-04
        0.115879397E+01               0.147420140E+00               0.147379783E+00              -0.403565127E-04
        0.116080402E+01               0.149154144E+00               0.149112886E+00              -0.412586286E-04
        0.116281407E+01               0.150885107E+00               0.150842990E+00              -0.421165584E-04
        0.116482412E+01               0.152613036E+00               0.152570106E+00              -0.429295442E-04
        0.116683417E+01               0.154337941E+00               0.154294245E+00              -0.436968819E-04
        0.116884422E+01               0.156059833E+00               0.156015415E+00              -0.444179204E-04
        0.117085427E+01               0.157778721E+00               0.157733629E+00              -0.450920616E-04
        0.117286432E+01               0.159494614E+00               0.159448895E+00              -0.457187597E-04
        0.117487437E+01               0.161207522E+00               0.161161224E+00              -0.462975211E-04
        0.117688442E+01               0.162917454E+00               0.162870626E+00              -0.468279040E-04
        0.117889447E+01               0.164624421E+00               0.164577111E+00              -0.473095179E-04
        0.118090452E+01               0.166328431E+00               0.166280689E+00              -0.477420236E-04
        0.118291457E+01               0.168029495E+00               0.167981370E+00              -0.481251323E-04
        0.118492462E+01               0.169727622E+00               0.169679163E+00              -0.484586057E-04
        0.118693467E+01               0.171422821E+00               0.171374079E+00              -0.487422556E-04
        0.118894472E+01               0.173115103E+00               0.173066127E+00              -0.489759433E-04
        0.119095477E+01               0.174804476E+00               0.174755316E+00              -0.491595796E-04
        0.119296482E+01               0.176490951E+00               0.176441657E+00              -0.492931244E-04
        0.119497487E+01               0.178174536E+00               0.178125160E+00              -0.493765859E-04
        0.119698492E+01               0.179855242E+00               0.179805832E+00              -0.494100212E-04
        0.119899497E+01               0.181533078E+00               0.181483685E+00              -0.493935349E-04
        0.120100503E+01               0.183208054E+00               0.183158727E+00              -0.493272797E-04
        0.120301508E+01               0.184880180E+00               0.184830968E+00              -0.492114556E-04
        0.120502513E+01               0.186549464E+00               0.186500418E+00              -0.490463095E-04
        0.120703518E+01               0.188215917E+00               0.188167085E+00              -0.488321353E-04
        0.120904523E+01               0.189879548E+00               0.189830979E+00              -0.485692731E-04
        0.121105528E+01               0.191540367E+00               0.191492109E+00              -0.482581095E-04
        0.121306533E+01               0.193198383E+00               0.193150484E+00              -0.478990766E-04
        0.121507538E+01               0.194853606E+00               0.194806113E+00              -0.474926521E-04
        0.121708543E+01               0.196506046E+00               0.196459006E+00              -0.470393591E-04
        0.121909548E+01               0.198155712E+00               0.198109172E+00              -0.465397656E-04
        0.122110553E+01               0.199802613E+00               0.199756619E+00              -0.459944839E-04
        0.122311558E+01               0.201446760E+00               0.201401356E+00              -0.454041711E-04
        0.122512563E+01               0.203088162E+00               0.203043392E+00              -0.447695281E-04
        0.122713568E+01               0.204726828E+00               0.204682737E+00              -0.440912997E-04
        0.122914573E+01               0.206362769E+00               0.206319399E+00              -0.433702739E-04
        0.123115578E+01               0.207995993E+00               0.207953386E+00              -0.426072823E-04
        0.123316583E+01               0.209626511E+00               0.209584708E+00              -0.418031991E-04
        0.123517588E+01               0.211254331E+00               0.211213372E+00              -0.409589413E-04
        0.123718593E+01               0.212879464E+00               0.212839389E+00              -0.400754681E-04
        0.123919598E+01               0.214501920E+00               0.214462766E+00              -0.391537809E-04
        0.124120603E+01               0.216121707E+00               0.216083512E+00              -0.381949229E-04
        0.124321608E+01               0.217738835E+00               0.217701635E+00              -0.371999788E-04
        0.124522613E+01               0.219353315E+00               0.219317144E+00              -0.361700746E-04
        0.124723618E+01               0.220965154E+00               0.220930048E+00              -0.351063772E-04
        0.124924623E+01               0.222574364E+00               0.222540354E+00              -0.340100944E-04
        0.125125628E+01               0.224180954E+00               0.224148072E+00              -0.328824743E-04
        0.125326633E+01               0.225784933E+00               0.225753209E+00              -0.317248054E-04
        0.125527638E+01               0.227386311E+00               0.227355773E+00              -0.305384160E-04
        0.125728643E+01               0.228985098E+00               0.228955773E+00              -0.293246741E-04
        0.125929648E+01               0.230581303E+00               0.230553218E+00              -0.280849874E-04
        0.126130653E+01               0.232174935E+00               0.232148114E+00              -0.268208024E-04
        0.126331658E+01               0.233766005E+00               0.233740471E+00              -0.255336050E-04
        0.126532663E+01               0.235354522E+00               0.235330297E+00              -0.242249193E-04
        0.126733668E+01               0.236940495E+00               0.236917599E+00              -0.228963083E-04
        0.126934673E+01               0.238523935E+00               0.238502385E+00              -0.215493728E-04
        0.127135678E+01               0.240104850E+00               0.240084664E+00              -0.201857520E-04
        0.127336683E+01               0.241683250E+00               0.241664443E+00              -0.188071226E-04
        0.127537688E+01               0.243259146E+00               0.243241731E+00              -0.174151987E-04
        0.127738693E+01               0.244832546E+00               0.244816534E+00              -0.160117317E-04
        0.127939698E+01               0.246403460E+00               0.246388861E+00              -0.145985103E-04
        0.128140704E+01               0.247971898E+00               0.247958720E+00              -0.131773595E-04
        0.128341709E+01               0.249537869E+00               0.249526119E+00              -0.117501413E-04
        0.128542714E+01               0.251101383E+00               0.251091064E+00              -0.103187538E-04
        0.128743719E+01               0.252662450E+00               0.252653565E+00              -0.888513128E-05
        0.128944724E+01               0.254221079E+00               0.254213627E+00              -0.745124378E-05
        0.129145729E+01               0.255777279E+00               0.255771260E+00              -0.601909711E-05
        0.129346734E+01               0.257331061E+00               0.257326470E+00              -0.459073248E-05
        0.129547739E+01               0.258882434E+00               0.258879266E+00              -0.316822629E-05
        0.129748744E+01               0.260431407E+00               0.260429654E+00              -0.175368996E-05
        0.129949749E+01               0.261977991E+00               0.261977642E+00              -0.349269648E-06
        0.130150754E+01               0.263522194E+00               0.263523237E+00               0.104285389E-05
        0.130351759E+01               0.265064027E+00               0.265066447E+00               0.242046558E-05
        0.130552764E+01               0.266603498E+00               0.266607280E+00               0.378131620E-05
        0.130753769E+01               0.268140618E+00               0.268145741E+00               0.512312261E-05
        0.130954774E+01               0.269675396E+00               0.269681840E+00               0.644356795E-05
        0.131155779E+01               0.271207842E+00               0.271215583E+00               0.774030185E-05
        0.131356784E+01               0.272737966E+00               0.272746976E+00               0.901094063E-05
        0.131557789E+01               0.274265776E+00               0.274276029E+00               0.102530675E-04
        0.131758794E+01               0.275791282E+00               0.275802747E+00               0.114642329E-04
        0.131959799E+01               0.277314495E+00               0.277327137E+00               0.126419543E-04
        0.132160804E+01               0.278835424E+00               0.278849207E+00               0.137837169E-04
        0.132361809E+01               0.280354078E+00               0.280368965E+00               0.148869735E-04
        0.132562814E+01               0.281870466E+00               0.281886416E+00               0.159491449E-04
        0.132763819E+01               0.283384600E+00               0.283401567E+00               0.169676199E-04
        0.132964824E+01               0.284896487E+00               0.284914427E+00               0.179397556E-04
        0.133165829E+01               0.286406138E+00               0.286425001E+00               0.188628775E-04
        0.133366834E+01               0.287913563E+00               0.287933297E+00               0.197342799E-04
        0.133567839E+01               0.289418770E+00               0.289439322E+00               0.205512259E-04
        0.133768844E+01               0.290921770E+00               0.290943081E+00               0.213109476E-04
        0.133969849E+01               0.292422572E+00               0.292444583E+00               0.220106464E-04
        0.134170854E+01               0.293921186E+00               0.293943834E+00               0.226474930E-04
        0.134371859E+01               0.295417621E+00               0.295440840E+00               0.232186278E-04
        0.134572864E+01               0.296911887E+00               0.296935609E+00               0.237211610E-04
        0.134773869E+01               0.298403994E+00               0.298428146E+00               0.241521726E-04
        0.134974874E+01               0.299893951E+00               0.299918459E+00               0.245087129E-04
        0.135175879E+01               0.301381767E+00               0.301406555E+00               0.247878024E-04
        0.135376884E+01               0.302867453E+00               0.302892439E+00               0.249864322E-04
        0.135577889E+01               0.304351017E+00               0.304376119E+00               0.251015639E-04
        0.135778894E+01               0.305832471E+00               0.305857601E+00               0.251301301E-04
        0.135979899E+01               0.307311822E+00               0.307336891E+00               0.250690344E-04
        0.136180905E+01               0.308789081E+00               0.308813996E+00               0.249151515E-04
        0.136381910E+01               0.310264257E+00               0.310288923E+00               0.246653274E-04
        0.136582915E+01               0.311737361E+00               0.311761677E+00               0.243163798E-04
        0.136783920E+01               0.313208400E+00               0.313232265E+00               0.238650980E-04
        0.136984925E+01               0.314677386E+00               0.314700695E+00               0.233082431E-04
        0.137185930E+01               0.316144328E+00               0.316166970E+00               0.226425483E-04
        0.137386935E+01               0.317609235E+00               0.317631100E+00               0.218647190E-04
        0.137587940E+01               0.319072117E+00               0.319093088E+00               0.209714329E-04
        0.137788945E+01               0.320532983E+00               0.320552942E+00               0.199593401E-04
        0.137989950E+01               0.321991844E+00               0.322010669E+00               0.188250636E-04
        0.138190955E+01               0.323448708E+00               0.323466273E+00               0.175651991E-04
        0.138391960E+01               0.324903585E+00               0.324919762E+00               0.161763152E-04
        0.138592965E+01               0.326356486E+00               0.326371141E+00               0.146549538E-04
        0.138793970E+01               0.327807419E+00               0.327820416E+00               0.129976301E-04
        0.138994975E+01               0.329256394E+00               0.329267595E+00               0.112008326E-04
        0.139195980E+01               0.330703420E+00               0.330712681E+00               0.926102349E-05
        0.139396985E+01               0.332148509E+00               0.332155683E+00               0.717463878E-05
        0.139597990E+01               0.333591668E+00               0.333596606E+00               0.493808831E-05
        0.139798995E+01               0.335032907E+00               0.335035455E+00               0.254775601E-05
        0.140000000E+01               0.336472237E+00               0.336472237E+00               0.000000000E+00
