#            h                             Deriv.Aprox                          Deriv.Exacta                             Error_abs
     0.100000000E+00                      0.222287869E+02                      0.221671683E+02                      0.616185835E-01
     0.100000000E-01                      0.221677841E+02                      0.221671683E+02                      0.615758985E-03
     0.100000000E-02                      0.221671745E+02                      0.221671683E+02                      0.615754574E-05
     0.100000000E-03                      0.221671684E+02                      0.221671683E+02                      0.616015363E-07
     0.100000000E-04                      0.221671683E+02                      0.221671683E+02                      0.779074583E-09
     0.100000000E-05                      0.221671683E+02                      0.221671683E+02                      0.601438899E-09
     0.100000000E-06                      0.221671683E+02                      0.221671683E+02                      0.180503115E-07
     0.100000000E-07                      0.221671681E+02                      0.221671683E+02                      0.195685995E-06
     0.100000000E-08                      0.221671694E+02                      0.221671683E+02                      0.113658163E-05
     0.100000000E-09                      0.221671748E+02                      0.221671683E+02                      0.646565215E-05
     0.100000000E-10                      0.221672458E+02                      0.221671683E+02                      0.775199257E-04
     0.100000000E-11                      0.221689334E+02                      0.221671683E+02                      0.176505892E-02
     0.100000000E-12                      0.221511698E+02                      0.221671683E+02                      0.159985095E-01
     0.100000000E-13                      0.223820962E+02                      0.221671683E+02                      0.214927880E+00
     0.100000000E-14                      0.222044605E+02                      0.221671683E+02                      0.372921957E-01
     0.100000000E-15                      0.000000000E+00                      0.221671683E+02                      0.221671683E+02
