    Numero de Puntos               Punto Medio                        Error                            h
      2                              0.187786435E+00               0.447256378E-02               0.250000000E+00
      4                              0.190272166E+00               0.198683291E-02               0.125000000E+00
      6                              0.191141715E+00               0.111728335E-02               0.833333333E-01
      8                              0.191544112E+00               0.714886666E-03               0.625000000E-01
     10                              0.191762677E+00               0.496322226E-03               0.500000000E-01
     12                              0.191894457E+00               0.364542055E-03               0.416666667E-01
     14                              0.191979984E+00               0.279014594E-03               0.357142857E-01
     16                              0.192038620E+00               0.220378585E-03               0.312500000E-01
     18                              0.192080561E+00               0.178437261E-03               0.277777778E-01
     20                              0.192111593E+00               0.147405782E-03               0.250000000E-01
     22                              0.192135195E+00               0.123804002E-03               0.227272727E-01
     24                              0.192153562E+00               0.105436389E-03               0.208333333E-01
     26                              0.192168136E+00               0.908623264E-04               0.192307692E-01
     28                              0.192179894E+00               0.791047654E-04               0.178571429E-01
     30                              0.192189517E+00               0.694820960E-04               0.166666667E-01
     32                              0.192197492E+00               0.615070851E-04               0.156250000E-01
     34                              0.192204175E+00               0.548239640E-04               0.147058824E-01
     36                              0.192209831E+00               0.491680499E-04               0.138888889E-01
     38                              0.192214660E+00               0.443391302E-04               0.131578947E-01
     40                              0.192218815E+00               0.401834968E-04               0.125000000E-01
     42                              0.192222417E+00               0.365815614E-04               0.119047619E-01
     44                              0.192225560E+00               0.334391543E-04               0.113636364E-01
     46                              0.192228317E+00               0.306813068E-04               0.108695652E-01
     48                              0.192230751E+00               0.282477372E-04               0.104166667E-01
     50                              0.192232909E+00               0.260895290E-04               0.100000000E-01
     52                              0.192234832E+00               0.241666532E-04               0.961538462E-02
     54                              0.192236553E+00               0.224460986E-04               0.925925926E-02
     56                              0.192238098E+00               0.209004459E-04               0.892857143E-02
     58                              0.192239492E+00               0.195067680E-04               0.862068966E-02
     60                              0.192240753E+00               0.182457750E-04               0.833333333E-02
     62                              0.192241898E+00               0.171011433E-04               0.806451613E-02
     64                              0.192242940E+00               0.160589844E-04               0.781250000E-02
     66                              0.192243891E+00               0.151074218E-04               0.757575758E-02
     68                              0.192244763E+00               0.142362509E-04               0.735294118E-02
     70                              0.192245562E+00               0.134366647E-04               0.714285714E-02
     72                              0.192246298E+00               0.127010298E-04               0.694444444E-02
     74                              0.192246976E+00               0.120227038E-04               0.675675676E-02
     76                              0.192247603E+00               0.113958849E-04               0.657894737E-02
     78                              0.192248183E+00               0.108154873E-04               0.641025641E-02
     80                              0.192248722E+00               0.102770379E-04               0.625000000E-02
     82                              0.192249222E+00               0.977658952E-05               0.609756098E-02
     84                              0.192249688E+00               0.931064856E-05               0.595238095E-02
     86                              0.192250123E+00               0.887611395E-05               0.581395349E-02
     88                              0.192250529E+00               0.847022525E-05               0.568181818E-02
     90                              0.192250908E+00               0.809051879E-05               0.555555556E-02
     92                              0.192251264E+00               0.773479018E-05               0.543478261E-02
     94                              0.192251598E+00               0.740106222E-05               0.531914894E-02
     96                              0.192251911E+00               0.708755739E-05               0.520833333E-02
     98                              0.192252206E+00               0.679267413E-05               0.510204082E-02
    100                              0.192252484E+00               0.651496634E-05               0.500000000E-02
