    Numero de Puntos                   Simpson                        Error                            h
      2                              0.192245307E+00               0.136913385E-04               0.250000000E+00
      4                              0.192258460E+00               0.538306031E-06               0.125000000E+00
      6                              0.192259180E+00               0.180985782E-06               0.833333333E-01
      8                              0.192259301E+00               0.302577420E-06               0.625000000E-01
     10                              0.192259335E+00               0.335861984E-06               0.500000000E-01
     12                              0.192259347E+00               0.347827605E-06               0.416666667E-01
     14                              0.192259352E+00               0.352959358E-06               0.357142857E-01
     16                              0.192259354E+00               0.355450760E-06               0.312500000E-01
     18                              0.192259356E+00               0.356776920E-06               0.277777778E-01
     20                              0.192259356E+00               0.357534851E-06               0.250000000E-01
     22                              0.192259357E+00               0.357993256E-06               0.227272727E-01
     24                              0.192259357E+00               0.358283604E-06               0.208333333E-01
     26                              0.192259357E+00               0.358474699E-06               0.192307692E-01
     28                              0.192259357E+00               0.358604613E-06               0.178571429E-01
     30                              0.192259357E+00               0.358695416E-06               0.166666667E-01
     32                              0.192259358E+00               0.358760425E-06               0.156250000E-01
     34                              0.192259358E+00               0.358807954E-06               0.147058824E-01
     36                              0.192259358E+00               0.358843351E-06               0.138888889E-01
     38                              0.192259358E+00               0.358870150E-06               0.131578947E-01
     40                              0.192259358E+00               0.358890740E-06               0.125000000E-01
     42                              0.192259358E+00               0.358906770E-06               0.119047619E-01
     44                              0.192259358E+00               0.358919400E-06               0.113636364E-01
     46                              0.192259358E+00               0.358929459E-06               0.108695652E-01
     48                              0.192259358E+00               0.358937552E-06               0.104166667E-01
     50                              0.192259358E+00               0.358944121E-06               0.100000000E-01
     52                              0.192259358E+00               0.358949498E-06               0.961538462E-02
     54                              0.192259358E+00               0.358953934E-06               0.925925926E-02
     56                              0.192259358E+00               0.358957619E-06               0.892857143E-02
     58                              0.192259358E+00               0.358960701E-06               0.862068966E-02
     60                              0.192259358E+00               0.358963295E-06               0.833333333E-02
     62                              0.192259358E+00               0.358965491E-06               0.806451613E-02
     64                              0.192259358E+00               0.358967359E-06               0.781250000E-02
     66                              0.192259358E+00               0.358968957E-06               0.757575758E-02
     68                              0.192259358E+00               0.358970330E-06               0.735294118E-02
     70                              0.192259358E+00               0.358971515E-06               0.714285714E-02
     72                              0.192259358E+00               0.358972542E-06               0.694444444E-02
     74                              0.192259358E+00               0.358973436E-06               0.675675676E-02
     76                              0.192259358E+00               0.358974217E-06               0.657894737E-02
     78                              0.192259358E+00               0.358974902E-06               0.641025641E-02
     80                              0.192259358E+00               0.358975504E-06               0.625000000E-02
     82                              0.192259358E+00               0.358976036E-06               0.609756098E-02
     84                              0.192259358E+00               0.358976506E-06               0.595238095E-02
     86                              0.192259358E+00               0.358976924E-06               0.581395349E-02
     88                              0.192259358E+00               0.358977296E-06               0.568181818E-02
     90                              0.192259358E+00               0.358977628E-06               0.555555556E-02
     92                              0.192259358E+00               0.358977925E-06               0.543478261E-02
     94                              0.192259358E+00               0.358978191E-06               0.531914894E-02
     96                              0.192259358E+00               0.358978430E-06               0.520833333E-02
     98                              0.192259358E+00               0.358978646E-06               0.510204082E-02
    100                              0.192259358E+00               0.358978841E-06               0.500000000E-02
