    Numero de Puntos               Punto Medio                        Error                            h
      2                              0.201202511E+00               0.894351264E-02               0.250000000E+00
      4                              0.194494473E+00               0.223547443E-02               0.125000000E+00
      6                              0.193252687E+00               0.993687934E-03               0.833333333E-01
      8                              0.192818094E+00               0.559095540E-03               0.625000000E-01
     10                              0.192616946E+00               0.357947126E-03               0.500000000E-01
     12                              0.192507682E+00               0.248682854E-03               0.416666667E-01
     14                              0.192441799E+00               0.182800467E-03               0.357142857E-01
     16                              0.192399039E+00               0.140040473E-03               0.312500000E-01
     18                              0.192369723E+00               0.110724458E-03               0.277777778E-01
     20                              0.192348754E+00               0.897549326E-04               0.250000000E-01
     22                              0.192333239E+00               0.742398809E-04               0.227272727E-01
     24                              0.192321438E+00               0.624394263E-04               0.208333333E-01
     26                              0.192312255E+00               0.532559065E-04               0.192307692E-01
     28                              0.192304968E+00               0.459690701E-04               0.178571429E-01
     30                              0.192299089E+00               0.400904258E-04               0.166666667E-01
     32                              0.192294278E+00               0.352791886E-04               0.156250000E-01
     34                              0.192290291E+00               0.312917545E-04               0.147058824E-01
     36                              0.192286949E+00               0.279502470E-04               0.138888889E-01
     38                              0.192284121E+00               0.251223302E-04               0.131578947E-01
     40                              0.192281707E+00               0.227079012E-04               0.125000000E-01
     42                              0.192279629E+00               0.206301086E-04               0.119047619E-01
     44                              0.192277828E+00               0.188291598E-04               0.113636364E-01
     46                              0.192276257E+00               0.172579714E-04               0.108695652E-01
     48                              0.192274878E+00               0.158790597E-04               0.104166667E-01
     50                              0.192273661E+00               0.146622848E-04               0.100000000E-01
     52                              0.192272582E+00               0.135831887E-04               0.961538462E-02
     54                              0.192271621E+00               0.126217575E-04               0.925925926E-02
     56                              0.192270760E+00               0.117614857E-04               0.892857143E-02
     58                              0.192269987E+00               0.109886640E-04               0.862068966E-02
     60                              0.192269291E+00               0.102918289E-04               0.833333333E-02
     62                              0.192268660E+00               0.966133573E-05               0.806451613E-02
     64                              0.192268088E+00               0.908902267E-05               0.781250000E-02
     66                              0.192267567E+00               0.856794562E-05               0.757575758E-02
     68                              0.192267091E+00               0.809216637E-05               0.735294118E-02
     70                              0.192266655E+00               0.765658273E-05               0.714285714E-02
     72                              0.192266256E+00               0.725679116E-05               0.694444444E-02
     74                              0.192265888E+00               0.688897504E-05               0.675675676E-02
     76                              0.192265549E+00               0.654981321E-05               0.657894737E-02
     78                              0.192265235E+00               0.623640480E-05               0.641025641E-02
     80                              0.192264945E+00               0.594620693E-05               0.625000000E-02
     82                              0.192264676E+00               0.567698302E-05               0.609756098E-02
     84                              0.192264426E+00               0.542675952E-05               0.595238095E-02
     86                              0.192264193E+00               0.519378967E-05               0.581395349E-02
     88                              0.192263975E+00               0.497652292E-05               0.568181818E-02
     90                              0.192263772E+00               0.477357907E-05               0.555555556E-02
     92                              0.192263582E+00               0.458372628E-05               0.543478261E-02
     94                              0.192263405E+00               0.440586238E-05               0.531914894E-02
     96                              0.192263238E+00               0.423899876E-05               0.520833333E-02
     98                              0.192263081E+00               0.408224666E-05               0.510204082E-02
    100                              0.192262934E+00               0.393480533E-05               0.500000000E-02
