    Numero de Puntos               Punto Medio                  Error relat                            h
     10                              0.631389530E+00               0.115647038E-02               0.100000000E+00
     20                              0.631902939E+00               0.344269630E-03               0.500000000E-01
     40                              0.632060839E+00               0.944759889E-04               0.250000000E-01
     80                              0.632104891E+00               0.247864032E-04               0.125000000E-01
    160                              0.632116544E+00               0.635062970E-05               0.625000000E-02
    320                              0.632119543E+00               0.160744646E-05               0.312500000E-02
    640                              0.632120303E+00               0.404369667E-06               0.156250000E-02
   1280                              0.632120495E+00               0.101408105E-06               0.781250000E-03
   2560                              0.632120543E+00               0.253916233E-07               0.390625000E-03
   5120                              0.632120555E+00               0.635286416E-08               0.195312500E-03
