    Numero de Puntos                   Simpson                  Error relat                            h
     10                              0.632120910E+00               0.554894874E-06               0.100000000E+00
     20                              0.632120581E+00               0.347118908E-07               0.500000000E-01
     40                              0.632120560E+00               0.216997721E-08               0.250000000E-01
     80                              0.632120559E+00               0.135631084E-09               0.125000000E-01
    160                              0.632120559E+00               0.847683299E-11               0.625000000E-02
    320                              0.632120559E+00               0.530241149E-12               0.312500000E-02
    640                              0.632120559E+00               0.337218617E-13               0.156250000E-02
   1280                              0.632120559E+00               0.228325105E-14               0.781250000E-03
   2560                              0.632120559E+00               0.175634696E-14               0.390625000E-03
   5120                              0.632120559E+00               0.702538786E-15               0.195312500E-03
