    Numero de Puntos                  Trapecio                  Error relat                            h
     10                              0.632647238E+00               0.833194478E-03               0.100000000E+00
     20                              0.632252245E+00               0.208324653E-03               0.500000000E-01
     40                              0.632153481E+00               0.520827908E-04               0.250000000E-01
     80                              0.632128790E+00               0.130207994E-04               0.125000000E-01
    160                              0.632122617E+00               0.325520621E-05               0.625000000E-02
    320                              0.632121073E+00               0.813801951E-06               0.312500000E-02
    640                              0.632120687E+00               0.203450511E-06               0.156250000E-02
   1280                              0.632120591E+00               0.508626285E-07               0.781250000E-03
   2560                              0.632120567E+00               0.127156580E-07               0.390625000E-03
   5120                              0.632120561E+00               0.317891336E-08               0.195312500E-03
