 #        t           theta             dtheta/dt=u       Energía        E_energía
  0.000000000E+00  0.000000000E+00  0.500000000E+00  0.122417438E+01  0.000000000E+00
  0.100000000E+00 -0.472379265E+00  0.476204599E+00  0.122415942E+01  0.149659127E-04
  0.200000000E+00 -0.902855711E+00  0.406922355E+00  0.122414166E+01  0.327187413E-04
  0.300000000E+00 -0.125077340E+01  0.298396919E+00  0.122412701E+01  0.473704704E-04
  0.400000000E+00 -0.147999448E+01  0.160749729E+00  0.122411622E+01  0.581616255E-04
  0.500000000E+00 -0.156450568E+01  0.726105270E-02  0.122410262E+01  0.717623076E-04
  0.600000000E+00 -0.149419738E+01 -0.146944024E+00  0.122408150E+01  0.928767204E-04
  0.700000000E+00 -0.127750427E+01 -0.286654925E+00  0.122405814E+01  0.116237307E-03
  0.800000000E+00 -0.939186895E+00 -0.398357196E+00  0.122404112E+01  0.133259463E-03
  0.900000000E+00 -0.514706926E+00 -0.471598887E+00  0.122403126E+01  0.143119050E-03
  0.100000000E+01 -0.444801251E-01 -0.499761786E+00  0.122402181E+01  0.152567429E-03
  0.110000000E+01  0.429640844E+00 -0.480359559E+00  0.122400734E+01  0.167040164E-03
  0.120000000E+01  0.865725846E+00 -0.415102217E+00  0.122398959E+01  0.184788423E-03
  0.130000000E+01  0.122290876E+01 -0.309854837E+00  0.122397449E+01  0.199891311E-03
  0.140000000E+01  0.146442592E+01 -0.174400104E+00  0.122396355E+01  0.210832968E-03
  0.150000000E+01  0.156306163E+01 -0.217706253E-01  0.122395053E+01  0.223849239E-03
  0.160000000E+01  0.150705071E+01  0.133010877E+00  0.122393005E+01  0.244335033E-03
  0.170000000E+01  0.130312639E+01  0.274664413E+00  0.122390649E+01  0.267893235E-03
  0.180000000E+01  0.974739528E+00  0.389452725E+00  0.122388868E+01  0.285697345E-03
  0.190000000E+01  0.556620188E+00  0.466598849E+00  0.122387838E+01  0.295996458E-03
  0.200000000E+01  0.889116618E-01  0.499111170E+00  0.122386921E+01  0.305166842E-03
  0.210000000E+01 -0.386588913E+00  0.484115371E+00  0.122385525E+01  0.319129240E-03
  0.220000000E+01 -0.827926807E+00  0.422932196E+00  0.122383757E+01  0.336814690E-03
  0.230000000E+01 -0.119405138E+01  0.321046412E+00  0.122382203E+01  0.352351983E-03
  0.240000000E+01 -0.144762164E+01  0.187896464E+00  0.122381088E+01  0.363505173E-03
  0.250000000E+01 -0.156027334E+01  0.362564632E-01  0.122379839E+01  0.375992286E-03
  0.260000000E+01 -0.151861422E+01 -0.118968421E+00  0.122377857E+01  0.395807116E-03
  0.270000000E+01 -0.132766041E+01 -0.262444655E+00  0.122375490E+01  0.419476496E-03
  0.280000000E+01 -0.100950412E+01 -0.380224622E+00  0.122373633E+01  0.438046511E-03
  0.290000000E+01 -0.598091539E+00 -0.461213468E+00  0.122372553E+01  0.448847225E-03
  0.300000000E+01 -0.133261062E+00 -0.498048965E+00  0.122371659E+01  0.457796035E-03
  0.310000000E+01  0.343257141E+00 -0.487469484E+00  0.122370314E+01  0.471237469E-03
  0.320000000E+01  0.789491133E+00 -0.430406409E+00  0.122368558E+01  0.488802535E-03
  0.330000000E+01  0.116422924E+01 -0.331962698E+00  0.122366963E+01  0.504750495E-03
  0.340000000E+01  0.142959989E+01 -0.201227508E+00  0.122365821E+01  0.516170831E-03
  0.350000000E+01  0.155614484E+01 -0.507061289E-01  0.122364619E+01  0.528189828E-03
  0.360000000E+01  0.152887676E+01  0.104828725E+00  0.122362708E+01  0.547300636E-03
  0.370000000E+01  0.135108315E+01  0.250005967E+00  0.122360339E+01  0.570993463E-03
  0.380000000E+01  0.104345061E+01  0.370680498E+00  0.122358408E+01  0.590304325E-03
  0.390000000E+01  0.639088214E+00  0.455447189E+00  0.122357272E+01  0.601664407E-03
  0.400000000E+01  0.177494835E+00  0.496576293E+00  0.122356393E+01  0.610452165E-03
  0.410000000E+01 -0.299679190E+00  0.490419657E+00  0.122355101E+01  0.623368718E-03
  0.420000000E+01 -0.750451551E+00  0.437519281E+00  0.122353362E+01  0.640757255E-03
  0.430000000E+01 -0.113347092E+01  0.342595019E+00  0.122351730E+01  0.657085644E-03
  0.440000000E+01 -0.141038000E+01  0.214382118E+00  0.122350556E+01  0.668822622E-03
  0.450000000E+01 -0.155068157E+01  0.651072375E-01  0.122349394E+01  0.680439311E-03
  0.460000000E+01 -0.153782850E+01 -0.906039498E-01  0.122347556E+01  0.698822712E-03
  0.470000000E+01 -0.137337237E+01 -0.237358869E+00  0.122345193E+01  0.722451131E-03
