 #        t           theta             dtheta/dt=u       Energía        E_energía
  0.000000000E+00  0.000000000E+00  0.500000000E+00  0.122417438E+01  0.000000000E+00
  0.100000000E-01 -0.479355413E-01  0.499760305E+00  0.122417438E+01  0.150428558E-10
  0.200000000E-01 -0.958290099E-01  0.499041429E+00  0.122417438E+01  0.355580010E-10
  0.300000000E-01 -0.143638337E+00  0.497844005E+00  0.122417438E+01  0.614288620E-10
  0.400000000E-01 -0.191321463E+00  0.496169083E+00  0.122417438E+01  0.924555987E-10
  0.500000000E-01 -0.238836340E+00  0.494018137E+00  0.122417438E+01  0.128354882E-09
  0.600000000E-01 -0.286140939E+00  0.491393057E+00  0.122417438E+01  0.168767667E-09
  0.700000000E-01 -0.333193258E+00  0.488296159E+00  0.122417438E+01  0.213259632E-09
  0.800000000E-01 -0.379951326E+00  0.484730173E+00  0.122417438E+01  0.261326072E-09
  0.900000000E-01 -0.426373217E+00  0.480698253E+00  0.122417438E+01  0.312405879E-09
  0.100000000E+00 -0.472417060E+00  0.476203969E+00  0.122417438E+01  0.365878439E-09
  0.110000000E+00 -0.518041054E+00  0.471251311E+00  0.122417438E+01  0.421081614E-09
  0.120000000E+00 -0.563203482E+00  0.465844687E+00  0.122417438E+01  0.477315076E-09
  0.130000000E+00 -0.607862730E+00  0.459988919E+00  0.122417438E+01  0.533850741E-09
  0.140000000E+00 -0.651977311E+00  0.453689248E+00  0.122417438E+01  0.589947202E-09
  0.150000000E+00 -0.695505885E+00  0.446951326E+00  0.122417438E+01  0.644853504E-09
  0.160000000E+00 -0.738407291E+00  0.439781221E+00  0.122417438E+01  0.697825353E-09
  0.170000000E+00 -0.780640573E+00  0.432185408E+00  0.122417438E+01  0.748137108E-09
  0.180000000E+00 -0.822165015E+00  0.424170772E+00  0.122417438E+01  0.795088440E-09
  0.190000000E+00 -0.862940179E+00  0.415744605E+00  0.122417438E+01  0.838019432E-09
  0.200000000E+00 -0.902925941E+00  0.406914600E+00  0.122417438E+01  0.876321016E-09
  0.210000000E+00 -0.942082538E+00  0.397688850E+00  0.122417438E+01  0.909441189E-09
  0.220000000E+00 -0.980370612E+00  0.388075844E+00  0.122417438E+01  0.936903000E-09
  0.230000000E+00 -0.101775126E+01  0.378084463E+00  0.122417438E+01  0.958304103E-09
  0.240000000E+00 -0.105418608E+01  0.367723972E+00  0.122417438E+01  0.973336078E-09
  0.250000000E+00 -0.108963725E+01  0.357004020E+00  0.122417438E+01  0.981778658E-09
  0.260000000E+00 -0.112406753E+01  0.345934630E+00  0.122417438E+01  0.983515713E-09
  0.270000000E+00 -0.115744040E+01  0.334526195E+00  0.122417438E+01  0.978535475E-09
  0.280000000E+00 -0.118972006E+01  0.322789467E+00  0.122417438E+01  0.966930980E-09
  0.290000000E+00 -0.122087152E+01  0.310735554E+00  0.122417438E+01  0.948906287E-09
  0.300000000E+00 -0.125086065E+01  0.298375911E+00  0.122417438E+01  0.924771371E-09
  0.310000000E+00 -0.127965427E+01  0.285722327E+00  0.122417438E+01  0.894942342E-09
  0.320000000E+00 -0.130722021E+01  0.272786918E+00  0.122417438E+01  0.859933458E-09
  0.330000000E+00 -0.133352736E+01  0.259582119E+00  0.122417438E+01  0.820357116E-09
  0.340000000E+00 -0.135854576E+01  0.246120667E+00  0.122417438E+01  0.776909426E-09
  0.350000000E+00 -0.138224666E+01  0.232415596E+00  0.122417438E+01  0.730364214E-09
  0.360000000E+00 -0.140460259E+01  0.218480218E+00  0.122417438E+01  0.681560808E-09
  0.370000000E+00 -0.142558743E+01  0.204328115E+00  0.122417438E+01  0.631390051E-09
  0.380000000E+00 -0.144517645E+01  0.189973122E+00  0.122417438E+01  0.580783643E-09
  0.390000000E+00 -0.146334643E+01  0.175429316E+00  0.122417438E+01  0.530698152E-09
  0.400000000E+00 -0.148007565E+01  0.160710997E+00  0.122417438E+01  0.482095475E-09
  0.410000000E+00 -0.149534401E+01  0.145832673E+00  0.122417438E+01  0.435931957E-09
  0.420000000E+00 -0.150913304E+01  0.130809048E+00  0.122417438E+01  0.393141963E-09
  0.430000000E+00 -0.152142598E+01  0.115655000E+00  0.122417438E+01  0.354617224E-09
  0.440000000E+00 -0.153220780E+01  0.100385566E+00  0.122417438E+01  0.321197291E-09
  0.450000000E+00 -0.154146528E+01  0.850159251E-01  0.122417438E+01  0.293649771E-09
  0.460000000E+00 -0.154918702E+01  0.695613797E-01  0.122417438E+01  0.272658562E-09
  0.470000000E+00 -0.155536347E+01  0.540373362E-01  0.122417438E+01  0.258813193E-09
  0.480000000E+00 -0.155998699E+01  0.384592872E-01  0.122417438E+01  0.252594834E-09
  0.490000000E+00 -0.156305184E+01  0.228427924E-01  0.122417438E+01  0.254371413E-09
  0.500000000E+00 -0.156455421E+01  0.720345918E-02  0.122417438E+01  0.264386735E-09
  0.510000000E+00 -0.156449222E+01 -0.844307671E-02  0.122417438E+01  0.282758039E-09
  0.520000000E+00 -0.156286596E+01 -0.240811705E-01  0.122417438E+01  0.309474224E-09
  0.530000000E+00 -0.155967745E+01 -0.396951880E-01  0.122417438E+01  0.344396067E-09
  0.540000000E+00 -0.155493065E+01 -0.552695247E-01  0.122417438E+01  0.387255339E-09
  0.550000000E+00 -0.154863146E+01 -0.707886259E-01  0.122417438E+01  0.437663905E-09
  0.560000000E+00 -0.154078766E+01 -0.862370047E-01  0.122417438E+01  0.495115948E-09
  0.570000000E+00 -0.153140897E+01 -0.101599262E+00  0.122417438E+01  0.559001290E-09
  0.580000000E+00 -0.152050691E+01 -0.116860106E+00  0.122417438E+01  0.628616048E-09
  0.590000000E+00 -0.150809486E+01 -0.132004367E+00  0.122417438E+01  0.703169079E-09
  0.600000000E+00 -0.149418799E+01 -0.147017020E+00  0.122417438E+01  0.781803511E-09
  0.610000000E+00 -0.147880319E+01 -0.161883200E+00  0.122417438E+01  0.863605853E-09
  0.620000000E+00 -0.146195905E+01 -0.176588219E+00  0.122417438E+01  0.947625312E-09
  0.630000000E+00 -0.144367582E+01 -0.191117583E+00  0.122417438E+01  0.103288667E-08
  0.640000000E+00 -0.142397534E+01 -0.205457011E+00  0.122417438E+01  0.111840937E-08
  0.650000000E+00 -0.140288094E+01 -0.219592443E+00  0.122417438E+01  0.120322197E-08
  0.660000000E+00 -0.138041748E+01 -0.233510065E+00  0.122417438E+01  0.128638034E-08
  0.670000000E+00 -0.135661117E+01 -0.247196316E+00  0.122417438E+01  0.136697698E-08
  0.680000000E+00 -0.133148959E+01 -0.260637904E+00  0.122417438E+01  0.144416035E-08
  0.690000000E+00 -0.130508160E+01 -0.273821820E+00  0.122417438E+01  0.151714619E-08
  0.700000000E+00 -0.127741724E+01 -0.286735348E+00  0.122417438E+01  0.158522706E-08
  0.710000000E+00 -0.124852770E+01 -0.299366080E+00  0.122417438E+01  0.164778458E-08
  0.720000000E+00 -0.121844525E+01 -0.311701925E+00  0.122417438E+01  0.170429404E-08
  0.730000000E+00 -0.118720315E+01 -0.323731120E+00  0.122417438E+01  0.175433601E-08
  0.740000000E+00 -0.115483559E+01 -0.335442237E+00  0.122417438E+01  0.179759385E-08
  0.750000000E+00 -0.112137762E+01 -0.346824196E+00  0.122417438E+01  0.183386284E-08
  0.760000000E+00 -0.108686510E+01 -0.357866273E+00  0.122417438E+01  0.186304661E-08
  0.770000000E+00 -0.105133463E+01 -0.368558105E+00  0.122417438E+01  0.188515736E-08
  0.780000000E+00 -0.101482348E+01 -0.378889697E+00  0.122417438E+01  0.190031457E-08
  0.790000000E+00 -0.977369531E+00 -0.388851432E+00  0.122417438E+01  0.190873806E-08
  0.800000000E+00 -0.939011216E+00 -0.398434073E+00  0.122417438E+01  0.191074445E-08
  0.810000000E+00 -0.899787480E+00 -0.407628771E+00  0.122417438E+01  0.190673810E-08
  0.820000000E+00 -0.859737716E+00 -0.416427069E+00  0.122417438E+01  0.189720750E-08
  0.830000000E+00 -0.818901717E+00 -0.424820904E+00  0.122417438E+01  0.188270954E-08
  0.840000000E+00 -0.777319632E+00 -0.432802616E+00  0.122417438E+01  0.186386417E-08
  0.850000000E+00 -0.735031924E+00 -0.440364945E+00  0.122417438E+01  0.184134286E-08
  0.860000000E+00 -0.692079329E+00 -0.447501038E+00  0.122417438E+01  0.181585769E-08
  0.870000000E+00 -0.648502819E+00 -0.454204452E+00  0.122417438E+01  0.178814852E-08
  0.880000000E+00 -0.604343573E+00 -0.460469152E+00  0.122417438E+01  0.175897430E-08
  0.890000000E+00 -0.559642941E+00 -0.466289518E+00  0.122417438E+01  0.172910042E-08
  0.900000000E+00 -0.514442423E+00 -0.471660344E+00  0.122417438E+01  0.169928516E-08
  0.910000000E+00 -0.468783640E+00 -0.476576839E+00  0.122417438E+01  0.167027459E-08
  0.920000000E+00 -0.422708317E+00 -0.481034629E+00  0.122417438E+01  0.164278502E-08
  0.930000000E+00 -0.376258262E+00 -0.485029756E+00  0.122417438E+01  0.161750102E-08
  0.940000000E+00 -0.329475350E+00 -0.488558684E+00  0.122417438E+01  0.159506008E-08
  0.950000000E+00 -0.282401511E+00 -0.491618294E+00  0.122417438E+01  0.157604418E-08
  0.960000000E+00 -0.235078718E+00 -0.494205885E+00  0.122417438E+01  0.156097779E-08
  0.970000000E+00 -0.187548977E+00 -0.496319178E+00  0.122417438E+01  0.155031610E-08
  0.980000000E+00 -0.139854318E+00 -0.497956314E+00  0.122417438E+01  0.154444080E-08
  0.990000000E+00 -0.920367893E-01 -0.499115855E+00  0.122417438E+01  0.154365765E-08
  0.100000000E+01 -0.441384525E-01 -0.499796781E+00  0.122417438E+01  0.154818669E-08
