 #        t           theta             dtheta/dt=u       Energía        E_energía
  0.000000000E+00  0.000000000E+00  0.250000000E+00  0.310875783E+00  0.000000000E+00
  0.100000000E+00 -0.243404078E+00  0.237729761E+00  0.310871641E+00  0.414160612E-05
  0.200000000E+00 -0.463312632E+00  0.202105048E+00  0.310867316E+00  0.846720417E-05
  0.300000000E+00 -0.638169678E+00  0.146577724E+00  0.310863217E+00  0.125655807E-04
  0.400000000E+00 -0.750408560E+00  0.765730646E-01  0.310859353E+00  0.164302476E-04
  0.500000000E+00 -0.788479733E+00 -0.101233489E-02  0.310855269E+00  0.205142126E-04
  0.600000000E+00 -0.748409160E+00 -0.784963473E-01  0.310850702E+00  0.250804818E-04
  0.700000000E+00 -0.634380836E+00 -0.148207545E+00  0.310846018E+00  0.297647206E-04
  0.800000000E+00 -0.458123998E+00 -0.203279846E+00  0.310841771E+00  0.340121778E-04
  0.900000000E+00 -0.237335422E+00 -0.238334144E+00  0.310837999E+00  0.377841391E-04
  0.100000000E+01  0.635372365E-02 -0.249975039E+00  0.310834216E+00  0.415663991E-04
  0.110000000E+01  0.249428172E+00 -0.237080896E+00  0.310830066E+00  0.457167688E-04
  0.120000000E+01  0.468422172E+00 -0.200894920E+00  0.310825742E+00  0.500405494E-04
  0.130000000E+01  0.641857418E+00 -0.144924017E+00  0.310821653E+00  0.541298414E-04
  0.140000000E+01  0.752298501E+00 -0.746380616E-01  0.310817790E+00  0.579931261E-04
  0.150000000E+01  0.788374995E+00  0.303737404E-02  0.310813695E+00  0.620881037E-04
  0.160000000E+01  0.746320444E+00  0.804107362E-01  0.310809119E+00  0.666637604E-04
  0.170000000E+01  0.630524996E+00  0.149822119E+00  0.310804441E+00  0.713420395E-04
  0.180000000E+01  0.452893199E+00  0.204436242E+00  0.310800209E+00  0.755741520E-04
  0.190000000E+01  0.231247925E+00  0.238919964E+00  0.310796444E+00  0.793387972E-04
  0.200000000E+01 -0.127075005E-01  0.249933756E+00  0.310792655E+00  0.831276606E-04
  0.210000000E+01 -0.255436705E+00  0.236416491E+00  0.310788496E+00  0.872866396E-04
  0.220000000E+01 -0.473501792E+00  0.199671540E+00  0.310784175E+00  0.916082912E-04
  0.230000000E+01 -0.645503511E+00  0.143260665E+00  0.310780094E+00  0.956885040E-04
  0.240000000E+01 -0.754139072E+00  0.726980026E-01  0.310776232E+00  0.995507541E-04
  0.250000000E+01 -0.788218230E+00 -0.506235481E-02  0.310772126E+00  0.103656934E-03
  0.260000000E+01 -0.744182495E+00 -0.823199592E-01  0.310767541E+00  0.108241694E-03
  0.270000000E+01 -0.626627743E+00 -0.151426957E+00  0.310762869E+00  0.112913606E-03
  0.280000000E+01 -0.447632762E+00 -0.205579322E+00  0.310758653E+00  0.117130366E-03
  0.290000000E+01 -0.225145161E+00 -0.239490207E+00  0.310754895E+00  0.120888067E-03
  0.300000000E+01  0.190609236E-01 -0.249876147E+00  0.310751099E+00  0.124683787E-03
  0.310000000E+01  0.261429279E+00 -0.235736579E+00  0.310746932E+00  0.128851211E-03
  0.320000000E+01  0.478551142E+00 -0.198434982E+00  0.310742612E+00  0.133170425E-03
  0.330000000E+01  0.649107690E+00 -0.141587772E+00  0.310738541E+00  0.137241575E-03
  0.340000000E+01  0.755930123E+00 -0.707530130E-01  0.310734680E+00  0.141103142E-03
  0.350000000E+01  0.788009423E+00  0.708714329E-02  0.310730562E+00  0.145220703E-03
  0.360000000E+01  0.741995436E+00  0.842238882E-01  0.310725969E+00  0.149814273E-03
  0.370000000E+01  0.622689322E+00  0.153021950E+00  0.310721303E+00  0.154479414E-03
  0.380000000E+01  0.442343020E+00  0.206709007E+00  0.310717102E+00  0.158680828E-03
  0.390000000E+01  0.219027519E+00  0.240044830E+00  0.310713351E+00  0.162431959E-03
  0.400000000E+01 -0.254135858E-01  0.249802206E+00  0.310709548E+00  0.166234779E-03
  0.410000000E+01 -0.267405500E+00  0.235041198E+00  0.310705372E+00  0.170410476E-03
  0.420000000E+01 -0.483569871E+00  0.197185320E+00  0.310701056E+00  0.174726946E-03
  0.430000000E+01 -0.652669686E+00  0.139905443E+00  0.310696994E+00  0.178789062E-03
  0.440000000E+01 -0.757671504E+00  0.688032188E-01  0.310693133E+00  0.182650299E-03
  0.450000000E+01 -0.787748563E+00 -0.911160550E-02  0.310689003E+00  0.186779410E-03
  0.460000000E+01 -0.739759398E+00 -0.861223951E-01  0.310684401E+00  0.191381485E-03
  0.470000000E+01 -0.618709981E+00 -0.154606988E+00  0.310679743E+00  0.196039458E-03
