 #        t           S        I       R
  0.000000000E+00  0.990000000E+03  0.100000000E+02  0.000000000E+00
  0.100000000E+00  0.989495225E+03  0.104027746E+02  0.102000832E+00
  0.200000000E+00  0.988970398E+03  0.108214933E+02  0.208108632E+00
  0.300000000E+00  0.988424750E+03  0.112567646E+02  0.318485867E+00
  0.400000000E+00  0.987857481E+03  0.117092180E+02  0.433301192E+00
  0.500000000E+00  0.987267765E+03  0.121795050E+02  0.552729665E+00
  0.600000000E+00  0.986654747E+03  0.126682996E+02  0.676952976E+00
  0.700000000E+00  0.986017541E+03  0.131762990E+02  0.806159666E+00
  0.800000000E+00  0.985355231E+03  0.137042241E+02  0.940545368E+00
  0.900000000E+00  0.984666867E+03  0.142528199E+02  0.108031304E+01
  0.100000000E+01  0.983951470E+03  0.148228565E+02  0.122567323E+01
  0.110000000E+01  0.983208026E+03  0.154151294E+02  0.137684429E+01
  0.120000000E+01  0.982435487E+03  0.160304600E+02  0.153405267E+01
  0.130000000E+01  0.981632770E+03  0.166696966E+02  0.169753317E+01
  0.140000000E+01  0.980798756E+03  0.173337145E+02  0.186752919E+01
  0.150000000E+01  0.979932290E+03  0.180234166E+02  0.204429306E+01
  0.160000000E+01  0.979032180E+03  0.187397341E+02  0.222808623E+01
  0.170000000E+01  0.978097193E+03  0.194836269E+02  0.241917965E+01
  0.180000000E+01  0.977126062E+03  0.202560842E+02  0.261785398E+01
  0.190000000E+01  0.976117476E+03  0.210581245E+02  0.282439993E+01
  0.200000000E+01  0.975070085E+03  0.218907966E+02  0.303911856E+01
  0.210000000E+01  0.973982499E+03  0.227551794E+02  0.326232156E+01
  0.220000000E+01  0.972853286E+03  0.236523826E+02  0.349433154E+01
  0.230000000E+01  0.971680971E+03  0.245835469E+02  0.373548240E+01
  0.240000000E+01  0.970464037E+03  0.255498439E+02  0.398611958E+01
  0.250000000E+01  0.969200923E+03  0.265524767E+02  0.424660039E+01
  0.260000000E+01  0.967890026E+03  0.275926795E+02  0.451729433E+01
  0.270000000E+01  0.966529699E+03  0.286717181E+02  0.479858342E+01
  0.280000000E+01  0.965118248E+03  0.297908893E+02  0.509086246E+01
  0.290000000E+01  0.963653939E+03  0.309515212E+02  0.539453940E+01
  0.300000000E+01  0.962134992E+03  0.321549724E+02  0.571003560E+01
  0.310000000E+01  0.960559582E+03  0.334026321E+02  0.603778619E+01
  0.320000000E+01  0.958925840E+03  0.346959195E+02  0.637824032E+01
  0.330000000E+01  0.957231856E+03  0.360362827E+02  0.673186149E+01
  0.340000000E+01  0.955475674E+03  0.374251985E+02  0.709912781E+01
  0.350000000E+01  0.953655296E+03  0.388641713E+02  0.748053230E+01
  0.360000000E+01  0.951768685E+03  0.403547319E+02  0.787658318E+01
  0.370000000E+01  0.949813760E+03  0.418984364E+02  0.828780407E+01
  0.380000000E+01  0.947788401E+03  0.434968647E+02  0.871473431E+01
  0.390000000E+01  0.945690452E+03  0.451516190E+02  0.915792911E+01
  0.400000000E+01  0.943517718E+03  0.468643218E+02  0.961795983E+01
  0.410000000E+01  0.941267972E+03  0.486366141E+02  0.100954142E+02
  0.420000000E+01  0.938938951E+03  0.504701530E+02  0.105908963E+02
  0.430000000E+01  0.936528364E+03  0.523666092E+02  0.111050269E+02
  0.440000000E+01  0.934033892E+03  0.543276643E+02  0.116384438E+02
  0.450000000E+01  0.931453191E+03  0.563550080E+02  0.121918012E+02
  0.460000000E+01  0.928783895E+03  0.584503345E+02  0.127657705E+02
  0.470000000E+01  0.926023621E+03  0.606153391E+02  0.133610401E+02
  0.480000000E+01  0.923169970E+03  0.628517146E+02  0.139783152E+02
  0.490000000E+01  0.920220535E+03  0.651611467E+02  0.146183179E+02
  0.500000000E+01  0.917172903E+03  0.675453100E+02  0.152817872E+02
  0.510000000E+01  0.914024658E+03  0.700058629E+02  0.159694787E+02
  0.520000000E+01  0.910773393E+03  0.725444429E+02  0.166821646E+02
  0.530000000E+01  0.907416706E+03  0.751626608E+02  0.174206330E+02
  0.540000000E+01  0.903952216E+03  0.778620953E+02  0.181856885E+02
  0.550000000E+01  0.900377563E+03  0.806442866E+02  0.189781508E+02
  0.560000000E+01  0.896690414E+03  0.835107305E+02  0.197988551E+02
  0.570000000E+01  0.892888478E+03  0.864628713E+02  0.206486511E+02
  0.580000000E+01  0.888969503E+03  0.895020947E+02  0.215284028E+02
  0.590000000E+01  0.884931291E+03  0.926297209E+02  0.224389876E+02
  0.600000000E+01  0.880771707E+03  0.958469966E+02  0.233812960E+02
  0.610000000E+01  0.876488682E+03  0.991550873E+02  0.243562303E+02
  0.620000000E+01  0.872080227E+03  0.102555069E+03  0.253647041E+02
  0.630000000E+01  0.867544439E+03  0.106047920E+03  0.264076412E+02
  0.640000000E+01  0.862879514E+03  0.109634511E+03  0.274859749E+02
  0.650000000E+01  0.858083755E+03  0.113315599E+03  0.286006464E+02
  0.660000000E+01  0.853155581E+03  0.117091815E+03  0.297526040E+02
  0.670000000E+01  0.848093540E+03  0.120963659E+03  0.309428015E+02
  0.680000000E+01  0.842896317E+03  0.124931486E+03  0.321721971E+02
  0.690000000E+01  0.837562748E+03  0.128995500E+03  0.334417519E+02
  0.700000000E+01  0.832091827E+03  0.133155745E+03  0.347524279E+02
  0.710000000E+01  0.826482719E+03  0.137412094E+03  0.361051871E+02
  0.720000000E+01  0.820734768E+03  0.141764243E+03  0.375009891E+02
  0.730000000E+01  0.814847513E+03  0.146211697E+03  0.389407897E+02
  0.740000000E+01  0.808820692E+03  0.150753769E+03  0.404255385E+02
  0.750000000E+01  0.802654256E+03  0.155389566E+03  0.419561775E+02
  0.760000000E+01  0.796348378E+03  0.160117983E+03  0.435336386E+02
  0.770000000E+01  0.789903461E+03  0.164937698E+03  0.451588415E+02
  0.780000000E+01  0.783320147E+03  0.169847161E+03  0.468326917E+02
  0.790000000E+01  0.776599329E+03  0.174844593E+03  0.485560780E+02
  0.800000000E+01  0.769742154E+03  0.179927976E+03  0.503298701E+02
  0.810000000E+01  0.762750029E+03  0.185095055E+03  0.521549165E+02
  0.820000000E+01  0.755624632E+03  0.190343326E+03  0.540320419E+02
  0.830000000E+01  0.748367914E+03  0.195670041E+03  0.559620445E+02
  0.840000000E+01  0.740982103E+03  0.201072203E+03  0.579456942E+02
