 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.102789914E+01  0.278991417E-01
  0.100000000E+00  0.900000000E+00  0.954192860E+00  0.541928601E-01
  0.200000000E+00  0.868778525E+00  0.925743844E+00  0.569653189E-01
  0.300000000E+00  0.877006324E+00  0.914428019E+00  0.374216943E-01
  0.400000000E+00  0.884411344E+00  0.889287461E+00  0.487611791E-02
  0.500000000E+00  0.854748734E+00  0.828002181E+00  0.267465533E-01
  0.600000000E+00  0.769273861E+00  0.725096101E+00  0.441777601E-01
  0.700000000E+00  0.633567950E+00  0.593739643E+00  0.398283062E-01
  0.800000000E+00  0.475105503E+00  0.460457497E+00  0.146480060E-01
  0.900000000E+00  0.332489301E+00  0.354760399E+00  0.222710975E-01
  0.100000000E+01  0.240461846E+00  0.297658873E+00  0.571970268E-01
