 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.102789914E+01  0.278991417E-01
  0.100000000E-01  0.990000000E+00  0.101792813E+01  0.279281265E-01
  0.200000000E-01  0.980727905E+00  0.100856796E+01  0.278400563E-01
  0.300000000E-01  0.972173958E+00  0.999809536E+00  0.276355775E-01
  0.400000000E-01  0.964326032E+00  0.991641823E+00  0.273157910E-01
  0.500000000E-01  0.957169671E+00  0.984051918E+00  0.268822473E-01
  0.600000000E-01  0.950688144E+00  0.977025084E+00  0.263369406E-01
  0.700000000E-01  0.944862508E+00  0.970544809E+00  0.256823015E-01
  0.800000000E-01  0.939671676E+00  0.964592862E+00  0.249211867E-01
  0.900000000E-01  0.935092496E+00  0.959149364E+00  0.240568684E-01
  0.100000000E+00  0.931099839E+00  0.954192860E+00  0.230930214E-01
  0.110000000E+00  0.927666693E+00  0.949700401E+00  0.220337081E-01
  0.120000000E+00  0.924764266E+00  0.945647629E+00  0.208833634E-01
  0.130000000E+00  0.922362094E+00  0.942008871E+00  0.196467765E-01
  0.140000000E+00  0.920428160E+00  0.938757232E+00  0.183290725E-01
  0.150000000E+00  0.918929010E+00  0.935864703E+00  0.169356922E-01
  0.160000000E+00  0.917829890E+00  0.933302261E+00  0.154723705E-01
  0.170000000E+00  0.917094871E+00  0.931039985E+00  0.139451141E-01
  0.180000000E+00  0.916686989E+00  0.929047166E+00  0.123601775E-01
  0.190000000E+00  0.916568389E+00  0.927292428E+00  0.107240388E-01
  0.200000000E+00  0.916700470E+00  0.925743844E+00  0.904337385E-02
  0.210000000E+00  0.917044031E+00  0.924369061E+00  0.732503015E-02
  0.220000000E+00  0.917559422E+00  0.923135422E+00  0.557599985E-02
  0.230000000E+00  0.918206700E+00  0.922010093E+00  0.380339217E-02
  0.240000000E+00  0.918945780E+00  0.920960186E+00  0.201440545E-02
  0.250000000E+00  0.919736590E+00  0.919952889E+00  0.216298789E-03
  0.260000000E+00  0.920539224E+00  0.918955587E+00  0.158363656E-02
  0.270000000E+00  0.921314099E+00  0.917935993E+00  0.337810591E-02
  0.280000000E+00  0.922022105E+00  0.916862265E+00  0.515983984E-02
  0.290000000E+00  0.922624756E+00  0.915703134E+00  0.692162286E-02
  0.300000000E+00  0.923084341E+00  0.914428019E+00  0.865632182E-02
  0.310000000E+00  0.923364062E+00  0.913007148E+00  0.103569140E-01
  0.320000000E+00  0.923428186E+00  0.911411672E+00  0.120165149E-01
  0.330000000E+00  0.923242175E+00  0.909613770E+00  0.136284051E-01
  0.340000000E+00  0.922772820E+00  0.907586763E+00  0.151860568E-01
  0.350000000E+00  0.921988371E+00  0.905305211E+00  0.166831599E-01
  0.360000000E+00  0.920858657E+00  0.902745011E+00  0.181136462E-01
  0.370000000E+00  0.919355203E+00  0.899883489E+00  0.194717139E-01
  0.380000000E+00  0.917451338E+00  0.896699487E+00  0.207518502E-01
  0.390000000E+00  0.915122295E+00  0.893173442E+00  0.219488528E-01
  0.400000000E+00  0.912345312E+00  0.889287461E+00  0.230578508E-01
  0.410000000E+00  0.909099712E+00  0.885025388E+00  0.240743235E-01
  0.420000000E+00  0.905366982E+00  0.880372864E+00  0.249941186E-01
  0.430000000E+00  0.901130849E+00  0.875317381E+00  0.258134681E-01
  0.440000000E+00  0.896377334E+00  0.869848330E+00  0.265290034E-01
  0.450000000E+00  0.891094806E+00  0.863957038E+00  0.271377684E-01
  0.460000000E+00  0.885274028E+00  0.857636797E+00  0.276372313E-01
  0.470000000E+00  0.878908186E+00  0.850882892E+00  0.280252945E-01
  0.480000000E+00  0.871992918E+00  0.843692615E+00  0.283003026E-01
  0.490000000E+00  0.864526321E+00  0.836065272E+00  0.284610493E-01
  0.500000000E+00  0.856508963E+00  0.828002181E+00  0.285067818E-01
  0.510000000E+00  0.847943873E+00  0.819506670E+00  0.284372037E-01
  0.520000000E+00  0.838836529E+00  0.810584053E+00  0.282524764E-01
  0.530000000E+00  0.829194832E+00  0.801241613E+00  0.279532183E-01
  0.540000000E+00  0.819029070E+00  0.791488568E+00  0.275405023E-01
  0.550000000E+00  0.808351881E+00  0.781336029E+00  0.270158513E-01
  0.560000000E+00  0.797178192E+00  0.770796959E+00  0.263812327E-01
  0.570000000E+00  0.785525164E+00  0.759886114E+00  0.256390501E-01
  0.580000000E+00  0.773412120E+00  0.748619986E+00  0.247921340E-01
  0.590000000E+00  0.760860462E+00  0.737016731E+00  0.238437305E-01
  0.600000000E+00  0.747893589E+00  0.725096101E+00  0.227974885E-01
  0.610000000E+00  0.734536801E+00  0.712879356E+00  0.216574453E-01
  0.620000000E+00  0.720817193E+00  0.700389182E+00  0.204280106E-01
  0.630000000E+00  0.706763550E+00  0.687649601E+00  0.191139490E-01
  0.640000000E+00  0.692406228E+00  0.674685867E+00  0.177203613E-01
  0.650000000E+00  0.677777034E+00  0.661524369E+00  0.162526642E-01
  0.660000000E+00  0.662909093E+00  0.648192524E+00  0.147165689E-01
  0.670000000E+00  0.647836723E+00  0.634718664E+00  0.131180587E-01
  0.680000000E+00  0.632595289E+00  0.621131924E+00  0.114633651E-01
  0.690000000E+00  0.617221066E+00  0.607462122E+00  0.975894325E-02
  0.700000000E+00  0.601751090E+00  0.593739643E+00  0.801144668E-02
  0.710000000E+00  0.586223014E+00  0.579995313E+00  0.622770070E-02
  0.720000000E+00  0.570674952E+00  0.566260277E+00  0.441467558E-02
  0.730000000E+00  0.555145330E+00  0.552565871E+00  0.257945897E-02
  0.740000000E+00  0.539672730E+00  0.538943502E+00  0.729227935E-03
  0.750000000E+00  0.524295735E+00  0.525424515E+00  0.112877943E-02
  0.760000000E+00  0.509052778E+00  0.512040071E+00  0.298729257E-02
  0.770000000E+00  0.493981983E+00  0.498821020E+00  0.483903724E-02
  0.780000000E+00  0.479121016E+00  0.485797780E+00  0.667676417E-02
  0.790000000E+00  0.464506933E+00  0.473000211E+00  0.849327775E-02
  0.800000000E+00  0.450176033E+00  0.460457497E+00  0.102814645E-01
  0.810000000E+00  0.436163707E+00  0.448198028E+00  0.120343210E-01
  0.820000000E+00  0.422504305E+00  0.436249287E+00  0.137449817E-01
  0.830000000E+00  0.409230992E+00  0.424637738E+00  0.154067462E-01
  0.840000000E+00  0.396375615E+00  0.413388720E+00  0.170131053E-01
  0.850000000E+00  0.383968579E+00  0.402526346E+00  0.185577670E-01
  0.860000000E+00  0.372038724E+00  0.392073405E+00  0.200346814E-01
  0.870000000E+00  0.360613204E+00  0.382051268E+00  0.214380644E-01
  0.880000000E+00  0.349717386E+00  0.372479807E+00  0.227624208E-01
  0.890000000E+00  0.339374741E+00  0.363377306E+00  0.240025657E-01
  0.900000000E+00  0.329606753E+00  0.354760399E+00  0.251536452E-01
  0.910000000E+00  0.320432833E+00  0.346643989E+00  0.262111556E-01
  0.920000000E+00  0.311870237E+00  0.339041198E+00  0.271709610E-01
  0.930000000E+00  0.303933998E+00  0.331963308E+00  0.280293101E-01
  0.940000000E+00  0.296636865E+00  0.325419715E+00  0.287828502E-01
  0.950000000E+00  0.289989251E+00  0.319417892E+00  0.294286415E-01
  0.960000000E+00  0.283999189E+00  0.313963356E+00  0.299641677E-01
  0.970000000E+00  0.278672298E+00  0.309059644E+00  0.303873467E-01
  0.980000000E+00  0.274011762E+00  0.304708300E+00  0.306965386E-01
  0.990000000E+00  0.270018312E+00  0.300908864E+00  0.308905521E-01
  0.100000000E+01  0.266690223E+00  0.297658873E+00  0.309686492E-01
