 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.102789914E+01  0.278991417E-01
  0.100000000E+00  0.920450850E+00  0.954192860E+00  0.337420104E-01
  0.200000000E+00  0.899909205E+00  0.925743844E+00  0.258346391E-01
  0.300000000E+00  0.907215374E+00  0.914428019E+00  0.721264486E-02
  0.400000000E+00  0.904278306E+00  0.889287461E+00  0.149908448E-01
  0.500000000E+00  0.860273053E+00  0.828002181E+00  0.322708721E-01
  0.600000000E+00  0.763096263E+00  0.725096101E+00  0.380001626E-01
  0.700000000E+00  0.623700932E+00  0.593739643E+00  0.299612889E-01
  0.800000000E+00  0.471651801E+00  0.460457497E+00  0.111943036E-01
  0.900000000E+00  0.343596487E+00  0.354760399E+00  0.111639121E-01
  0.100000000E+01  0.269053634E+00  0.297658873E+00  0.286052383E-01
