 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.102789914E+01  0.278991417E-01
  0.100000000E-01  0.990207054E+00  0.101792813E+01  0.277210727E-01
  0.200000000E-01  0.981135848E+00  0.100856796E+01  0.274321132E-01
  0.300000000E-01  0.972776118E+00  0.999809536E+00  0.270334176E-01
  0.400000000E-01  0.965115250E+00  0.991641823E+00  0.265265733E-01
  0.500000000E-01  0.958138323E+00  0.984051918E+00  0.259135944E-01
  0.600000000E-01  0.951828171E+00  0.977025084E+00  0.251969136E-01
  0.700000000E-01  0.946165437E+00  0.970544809E+00  0.243793728E-01
  0.800000000E-01  0.941128650E+00  0.964592862E+00  0.234642120E-01
  0.900000000E-01  0.936694308E+00  0.959149364E+00  0.224550560E-01
  0.100000000E+00  0.932836959E+00  0.954192860E+00  0.213559008E-01
  0.110000000E+00  0.929529304E+00  0.949700401E+00  0.201710972E-01
  0.120000000E+00  0.926742295E+00  0.945647629E+00  0.189053339E-01
  0.130000000E+00  0.924445252E+00  0.942008871E+00  0.175636191E-01
  0.140000000E+00  0.922605971E+00  0.938757232E+00  0.161512607E-01
  0.150000000E+00  0.921190858E+00  0.935864703E+00  0.146738450E-01
  0.160000000E+00  0.920165046E+00  0.933302261E+00  0.131372152E-01
  0.170000000E+00  0.919492537E+00  0.931039985E+00  0.115474480E-01
  0.180000000E+00  0.919136337E+00  0.929047166E+00  0.991082955E-02
  0.190000000E+00  0.919058597E+00  0.927292428E+00  0.823383099E-02
  0.200000000E+00  0.919220762E+00  0.925743844E+00  0.652308260E-02
  0.210000000E+00  0.919583713E+00  0.924369061E+00  0.478534776E-02
  0.220000000E+00  0.920107926E+00  0.923135422E+00  0.302749625E-02
  0.230000000E+00  0.920753615E+00  0.922010093E+00  0.125647712E-02
  0.240000000E+00  0.921480895E+00  0.920960186E+00  0.520708710E-03
  0.250000000E+00  0.922249925E+00  0.919952889E+00  0.229703610E-02
  0.260000000E+00  0.923021071E+00  0.918955587E+00  0.406548340E-02
  0.270000000E+00  0.923755053E+00  0.917935993E+00  0.581906018E-02
  0.280000000E+00  0.924413100E+00  0.916862265E+00  0.755083478E-02
  0.290000000E+00  0.924957095E+00  0.915703134E+00  0.925396169E-02
